object_id,normalized_name,canonical_name,object_count,episode_count,is_background_object,is_story_relevant_candidate
obj__alarm_horn__d20ed7a8,alarm horn,Alarm Horn,270,22,False,False
obj__fluid__5cfea13b,fluid,Fluid,286,22,False,False
obj__stool__801f91a6,stool,Stool,633,46,True,False
obj__wooden_bar__e18010fd,wooden bar,Wooden Bar,286,22,False,False
obj__barnacle__d2ba9502,barnacle,Barnacle,475,41,False,False
obj__dirty_wooden_bucket__d13b74e9,dirty wooden bucket,Dirty Wooden Bucket,235,22,False,False
obj__lantern__9e87ffce,lantern,Lantern,800,68,True,False
obj__small_bed__facfd127,small bed,Small Bed,252,21,False,False
obj__torch__69756f3c,torch,Torch,3240,297,True,False
obj__cell__8d27600b,cell,Cell,431,35,False,False
obj__wall__2d86bdac,wall,Wall,7849,597,True,False
obj__bar__37b51d19,bar,Bar,1822,146,False,False
obj__mud__c95e3dd9,mud,Mud,1145,102,False,False
obj__water__9460370b,water,Water,3145,249,False,False
obj__water_tower__01fa0e05,water tower,Water Tower,135,10,False,False
obj__door__2feaaf89,door,Door,4548,345,True,False
obj__tack_for_the_work_horses__cfc71b82,tack for the work horses,Tack For The Work Horses,143,13,False,False
obj__enchanted_torch__16750954,enchanted torch,Enchanted Torch,239,20,False,False
obj__ocean__45d20b1d,ocean,Ocean,704,38,False,False
obj__castle__9355a9f9,castle,Castle,1685,129,False,False
obj__cliff__9e94e929,cliff,Cliff,194,18,False,False
obj__moat__3c3a57f1,moat,Moat,565,43,False,False
obj__weapon__282aa351,weapon,Weapon,2246,208,False,False
obj__bed__001cbc05,bed,Bed,5084,374,True,False
obj__trunk__8d0411b3,trunk,Trunk,811,61,False,False
obj__lion__6b42d00c,lion,Lion,279,22,False,False
obj__crystal__cc989606,crystal,Crystal,537,55,False,False
obj__window__05b8c74c,window,Window,5994,435,True,False
obj__tree__c0af77cf,tree,Tree,8760,659,False,False
obj__church__916586c8,church,Church,675,51,False,False
obj__narrow_door__7026bb84,narrow door,Narrow Door,291,22,False,False
obj__bone__a57fc812,bone,Bone,3238,305,False,False
obj__grass__09d440e4,grass,Grass,3783,286,False,False
obj__leaf__bab4ff04,leaf,Leaf,482,39,False,False
obj__bird__abaecf8c,bird,Bird,454,42,False,False
obj__scarab_beetle__8ba162cb,scarab beetle,Scarab Beetle,271,20,False,False
obj__wooden_table__1c031e74,wooden table,Wooden Table,862,66,False,False
obj__painting__6a7c1b1d,painting,Painting,3269,245,False,False
obj__ornate_chair__4f8c7394,ornate chair,Ornate Chair,285,22,False,False
obj__hanging_tapestry__84c3304e,hanging tapestry,Hanging Tapestry,575,48,False,False
obj__small_table__a17ce4c9,small table,Small Table,970,67,False,False
obj__room__fef2576d,room,Room,1908,146,True,False
obj__cold_stone_wall__6ffb863d,cold stone wall,Cold Stone Wall,235,18,False,False
obj__secret_tunnel__57b3c615,secret tunnel,Secret Tunnel,235,18,False,False
obj__corridor__b254e0ae,corridor,Corridor,235,18,False,False
obj__floor__75158758,floor,Floor,2070,157,True,False
obj__chain__9951112f,chain,Chain,1135,105,False,False
obj__kingdom__dc420563,kingdom,Kingdom,235,18,False,False
obj__skeletons__138f64f4,skeletons,Skeletons,795,66,False,False
obj__big_chandelier__0bf29dde,big chandelier,Big Chandelier,297,20,False,False
obj__red_brick__89df469e,red brick,Red Brick,223,20,False,False
obj__kings_throne__528cca0d,kings throne,Kings Throne,297,20,False,True
obj__dinner__ad5acdfa,dinner,Dinner,322,23,False,False
obj__candle__ce23a732,candle,Candle,6204,491,True,False
obj__light__2ac43aa4,light,Light,532,38,False,False
obj__king__b2086154,king,King,322,23,False,False
obj__grey_brick__5eac8ede,grey brick,Grey Brick,322,23,False,False
obj__scale__0cb47aeb,scale,Scale,194,18,False,False
obj__gold_bar__526d5246,gold bar,Gold Bar,76,7,False,True
obj__oak_wood__c6992fc9,oak wood,Oak Wood,198,18,False,False
obj__big_wooden_table__e1e51e21,big wooden table,Big Wooden Table,220,18,False,False
obj__aisle__beac3deb,aisle,Aisle,198,18,False,False
obj__sword_of_the_guards__3a72e503,sword of the guards,Sword Of The Guards,147,13,False,True
obj__wood_trim__6e9be179,wood trim,Wood Trim,379,22,False,False
obj__stones__a6251e42,stones,Stones,282,22,False,False
obj__lookout_tower__846da8ae,lookout tower,Lookout Tower,295,22,False,False
obj__lagoon__664a6ce4,lagoon,Lagoon,272,21,False,False
obj__lily_pad__01249156,lily pad,Lily Pad,234,21,False,False
obj__moss__06a311b9,moss,Moss,1777,154,False,False
obj__ship__2a3f1166,ship,Ship,880,66,False,False
obj__product__f5bf48aa,product,Product,240,21,False,False
obj__fish__83e4a96a,fish,Fish,1043,90,False,False
obj__pew__08db7753,pew,Pew,1605,105,False,False
obj__stained_glass__a27f240f,stained glass,Stained Glass,706,51,False,False
obj__altar__ff70cae5,altar,Altar,1942,153,False,False
obj__rock__9a1f3094,rock,Rock,3441,292,False,False
obj__opening__c1d8ae6c,opening,Opening,271,21,False,False
obj__passage__84edc120,passage,Passage,271,21,False,False
obj__mountain__ec6d9c89,mountain,Mountain,714,58,False,False
obj__weed__8417a031,weed,Weed,714,70,False,False
obj__shutter__69768fb9,shutter,Shutter,255,20,False,False
obj__small_decrepit_graveyard__03ddbf73,small decrepit graveyard,Small Decrepit Graveyard,255,20,False,False
obj__river__a5b03048,river,River,907,64,False,False
obj__gurgling_water__abb663d5,gurgling water,Gurgling Water,241,18,False,False
obj__land__87cf962b,land,Land,241,18,False,False
obj__dirt__c90b1198,dirt,Dirt,2604,195,False,False
obj__clear_air__75a1f18a,clear air,Clear Air,241,18,False,False
obj__basket__0f6cdb62,basket,Basket,289,28,False,False
obj__worm__6d3f321e,worm,Worm,282,29,False,False
obj__carcass__05692c36,carcass,Carcass,74,14,False,False
obj__mudpit__d7eeb908,mudpit,Mudpit,239,21,False,False
obj__vegetation__831740e4,vegetation,Vegetation,100,11,False,False
obj__thick_water__c0b5ac4c,thick water,Thick Water,281,21,False,False
obj__pot__ecbfde13,pot,Pot,1464,126,False,False
obj__pan__96ac0342,pan,Pan,399,42,False,False
obj__oven__2eb68694,oven,Oven,275,21,False,False
obj__knife__4cbfe673,knife,Knife,1673,158,False,True
obj__observation_deck__8a5e076c,observation deck,Observation Deck,294,21,False,False
obj__stair__8148a665,stair,Stair,1153,76,False,False
obj__beautiful_land__af37dc64,beautiful land,Beautiful Land,294,21,False,False
obj__beautiful_farmland__68a4deb3,beautiful farmland,Beautiful Farmland,294,21,False,False
obj__countryside__9cff47d1,countryside,Countryside,294,21,False,False
obj__vessel__5e47949e,vessel,Vessel,277,21,False,False
obj__gold__e07e81c2,gold,Gold,2679,237,False,True
obj__door_to_the_shack__2e6f4cd6,door to the shack,Door To The Shack,269,21,False,False
obj__mold__0ad9f975,mold,Mold,221,21,False,False
obj__shingle__1b77f14a,shingle,Shingle,351,21,False,False
obj__roof_of_the_shack__6072f38d,roof of the shack,Roof Of The Shack,269,21,False,False
obj__front_porch__d103110e,front porch,Front Porch,269,21,False,False
obj__door_frame__d8ed5dcc,door frame,Door Frame,269,21,False,False
obj__small_flap__bc47d78e,small flap,Small Flap,265,20,False,False
obj__stretched_canvas__69cab42b,stretched canvas,Stretched Canvas,329,21,False,False
obj__patch__e5c5e6da,patch,Patch,269,20,False,False
obj__rug__717de68e,rug,Rug,2069,163,True,False
obj__claw_foot_tub__dea7ebd9,claw foot tub,Claw Foot Tub,304,22,False,False
obj__mirror__fbe322a8,mirror,Mirror,818,63,False,False
obj__linen__a6ab62e9,linen,Linen,825,64,False,False
obj__green_jungle__1cf19f75,green jungle,Green Jungle,258,20,False,False
obj__treehouse__e56e22e5,treehouse,Treehouse,382,29,False,False
obj__wall_hanging__f923af84,wall hanging,Wall Hanging,224,20,False,False
obj__mess_of_vines__2f0d5ca5,mess of vines,Mess Of Vines,258,20,False,False
obj__jungle_floor__535c6c64,jungle floor,Jungle Floor,258,20,False,False
obj__debris__2df9afbf,debris,Debris,701,50,False,False
obj__trash_bin__e68fdb50,trash bin,Trash Bin,160,16,False,False
obj__lamp_post__04ff1913,lamp post,Lamp Post,279,22,False,False
obj__small_gazebo__1d26542c,small gazebo,Small Gazebo,279,22,False,False
