utterance_id,character_id,mentioned_name,mention_count,episode_id,turn_index,is_target_agent_mention
utt__train_ep_001422__004,char__king,king,1,train_ep_001422,4,True
utt__train_ep_001438__001,char__princess,princess,1,train_ep_001438,1,False
utt__train_ep_001438__003,char__princess,princess,1,train_ep_001438,3,False
utt__train_ep_001438__007,char__father,father,1,train_ep_001438,7,False
utt__train_ep_001438__010,char__daughter,daughter,1,train_ep_001438,10,False
utt__train_ep_001493__001,char__servant,servant,1,train_ep_001493,1,False
utt__train_ep_001493__002,char__king,king,1,train_ep_001493,2,True
utt__train_ep_001493__004,char__royal,royal,1,train_ep_001493,4,False
utt__train_ep_001493__005,char__servant,servant,1,train_ep_001493,5,False
utt__train_ep_001493__011,char__knight,knight,1,train_ep_001493,11,False
utt__train_ep_001493__013,char__servant,servant,1,train_ep_001493,13,False
utt__train_ep_001494__002,char__army,army,1,train_ep_001494,2,False
utt__train_ep_001494__006,char__officer,officer,1,train_ep_001494,6,False
utt__train_ep_001494__008,char__old_man,old man,1,train_ep_001494,8,False
utt__train_ep_001494__008,char__man,man,1,train_ep_001494,8,False
utt__train_ep_001494__009,char__wife,wife,1,train_ep_001494,9,False
utt__train_ep_001494__009,char__fool,fool,1,train_ep_001494,9,False
utt__train_ep_001494__011,char__man,man,1,train_ep_001494,11,False
utt__train_ep_001494__013,char__messenger,messenger,1,train_ep_001494,13,False
utt__train_ep_001501__001,char__king,king,1,train_ep_001501,1,True
utt__train_ep_001501__001,char__family,family,1,train_ep_001501,1,False
utt__train_ep_001501__007,char__soul,soul,1,train_ep_001501,7,False
utt__train_ep_001501__008,char__chef,chef,1,train_ep_001501,8,False
utt__train_ep_001501__009,char__king,king,1,train_ep_001501,9,True
utt__train_ep_001501__010,char__servant,servant,1,train_ep_001501,10,False
utt__train_ep_001501__011,char__chef,chef,1,train_ep_001501,11,False
utt__train_ep_001679__000,char__king,king,1,train_ep_001679,0,True
utt__train_ep_001679__001,char__noble,noble,1,train_ep_001679,1,False
utt__train_ep_001679__001,char__guard,guard,1,train_ep_001679,1,False
utt__train_ep_001679__002,char__bandit,bandit,1,train_ep_001679,2,False
utt__train_ep_001679__002,char__old_woman,old woman,1,train_ep_001679,2,False
utt__train_ep_001679__002,char__woman,woman,1,train_ep_001679,2,False
utt__train_ep_001679__008,char__king,king,1,train_ep_001679,8,True
utt__train_ep_001693__000,char__king,king,1,train_ep_001693,0,True
utt__train_ep_001693__000,char__apothecary,apothecary,1,train_ep_001693,0,False
utt__train_ep_001693__002,char__king,king,1,train_ep_001693,2,True
utt__train_ep_001693__003,char__people,people,1,train_ep_001693,3,False
utt__train_ep_001693__005,char__people,people,1,train_ep_001693,5,False
utt__train_ep_001693__006,char__people,people,1,train_ep_001693,6,False
utt__train_ep_001693__007,char__wizards,wizards,1,train_ep_001693,7,False
utt__train_ep_001693__008,char__thing,thing,1,train_ep_001693,8,False
utt__train_ep_001693__008,char__family,family,1,train_ep_001693,8,False
utt__train_ep_001693__009,char__royal,royal,1,train_ep_001693,9,False
utt__train_ep_001693__009,char__apothecary,apothecary,1,train_ep_001693,9,False
utt__train_ep_001693__010,char__family,family,1,train_ep_001693,10,False
utt__train_ep_001693__012,char__people,people,1,train_ep_001693,12,False
utt__train_ep_001693__013,char__frog,frog,1,train_ep_001693,13,False
utt__train_ep_001693__013,char__jester,jester,1,train_ep_001693,13,False
utt__train_ep_001695__001,char__visitor,visitor,1,train_ep_001695,1,False
utt__train_ep_001695__004,char__father,father,1,train_ep_001695,4,False
utt__train_ep_001695__008,char__people,people,1,train_ep_001695,8,False
utt__train_ep_001695__009,char__visitor,visitor,1,train_ep_001695,9,False
utt__train_ep_001695__010,char__royal,royal,1,train_ep_001695,10,False
utt__train_ep_001695__010,char__visitor,visitor,1,train_ep_001695,10,False
utt__train_ep_001710__004,char__guards,guards,1,train_ep_001710,4,False
utt__train_ep_001710__004,char__man,man,1,train_ep_001710,4,False
utt__train_ep_001710__005,char__daughter,daughter,1,train_ep_001710,5,False
utt__train_ep_001710__006,char__princess,princess,1,train_ep_001710,6,False
utt__train_ep_001710__007,char__messenger,messenger,1,train_ep_001710,7,False
utt__train_ep_001710__008,char__guards,guards,1,train_ep_001710,8,False
utt__train_ep_001710__008,char__man,man,1,train_ep_001710,8,False
utt__train_ep_001710__012,char__guards,guards,1,train_ep_001710,12,False
utt__train_ep_001710__012,char__soldiers,soldiers,1,train_ep_001710,12,False
utt__train_ep_001731__000,char__animal,animal,1,train_ep_001731,0,False
utt__train_ep_001731__001,char__animal,animal,1,train_ep_001731,1,False
utt__train_ep_001731__001,char__bridge,bridge,1,train_ep_001731,1,False
utt__train_ep_001731__001,char__king,king,1,train_ep_001731,1,True
utt__train_ep_001731__002,char__bridge,bridge,1,train_ep_001731,2,False
utt__train_ep_001731__002,char__troll,troll,1,train_ep_001731,2,False
utt__train_ep_001731__003,char__troll,troll,1,train_ep_001731,3,False
utt__train_ep_001731__003,char__people,people,1,train_ep_001731,3,False
utt__train_ep_001731__003,char__bridge,bridge,1,train_ep_001731,3,False
utt__train_ep_001731__004,char__thing,thing,1,train_ep_001731,4,False
utt__train_ep_001736__001,char__servant,servant,1,train_ep_001736,1,False
utt__train_ep_001736__002,char__child,child,1,train_ep_001736,2,False
utt__train_ep_001736__002,char__wife,wife,1,train_ep_001736,2,False
utt__train_ep_001736__008,char__cook,cook,1,train_ep_001736,8,False
utt__train_ep_001736__009,char__servant,servant,1,train_ep_001736,9,False
utt__train_ep_001736__011,char__subjects,subjects,1,train_ep_001736,11,False
utt__train_ep_001739__001,char__king,king,1,train_ep_001739,1,True
utt__train_ep_001739__004,char__people,people,1,train_ep_001739,4,False
utt__train_ep_001739__006,char__people,people,1,train_ep_001739,6,False
utt__train_ep_001739__007,char__drunk,drunk,1,train_ep_001739,7,False
utt__train_ep_001739__008,char__citizen,citizen,1,train_ep_001739,8,False
utt__train_ep_001739__009,char__king,king,1,train_ep_001739,9,True
utt__train_ep_001739__012,char__citizen,citizen,1,train_ep_001739,12,False
utt__train_ep_001755__000,char__merchant,merchant,1,train_ep_001755,0,False
utt__train_ep_001755__006,char__guards,guards,1,train_ep_001755,6,False
utt__train_ep_001755__006,char__devil,devil,1,train_ep_001755,6,False
utt__train_ep_001755__008,char__thing,thing,1,train_ep_001755,8,False
utt__train_ep_001755__010,char__son,son,1,train_ep_001755,10,False
utt__train_ep_001779__001,char__subject,subject,1,train_ep_001779,1,False
utt__train_ep_001779__002,char__royal,royal,1,train_ep_001779,2,False
utt__train_ep_001779__008,char__king,king,1,train_ep_001779,8,True
utt__train_ep_001779__009,char__guards,guards,1,train_ep_001779,9,False
utt__train_ep_001779__010,char__peasant,peasant,1,train_ep_001779,10,False
utt__train_ep_001779__013,char__wench,wench,1,train_ep_001779,13,False
utt__train_ep_001781__001,char__drunk,drunk,1,train_ep_001781,1,False
utt__train_ep_001781__001,char__king,king,1,train_ep_001781,1,True
utt__train_ep_001781__001,char__thing,thing,1,train_ep_001781,1,False
utt__train_ep_001781__003,char__king,king,1,train_ep_001781,3,True
utt__train_ep_001781__005,char__king,king,1,train_ep_001781,5,True
utt__train_ep_001781__006,char__king,king,1,train_ep_001781,6,True
utt__train_ep_001781__007,char__king,king,1,train_ep_001781,7,True
utt__train_ep_001781__007,char__farmer,farmer,2,train_ep_001781,7,False
utt__train_ep_001781__008,char__king,king,1,train_ep_001781,8,True
utt__train_ep_001781__009,char__people,people,1,train_ep_001781,9,False
utt__train_ep_001804__004,char__king,king,1,train_ep_001804,4,True
utt__train_ep_001810__000,char__queen,queen,1,train_ep_001810,0,False
utt__train_ep_001810__004,char__artist,artist,1,train_ep_001810,4,False
utt__train_ep_001810__006,char__artist,artist,1,train_ep_001810,6,False
utt__train_ep_001810__012,char__guards,guards,1,train_ep_001810,12,False
