utterance_id,episode_id,turn_index,speaker_normalized_name,speaker_character_id,text,emote,action,is_target_agent_speaker,contains_target_agent_mention
utt__train_ep_001422__000,train_ep_001422,0,king,char__king,Hi,,,True,False
utt__train_ep_001422__001,train_ep_001422,1,gardener pulling weeds,char__gardener_pulling_weeds,"Why hello there, your majesty!",,,False,False
utt__train_ep_001422__002,train_ep_001422,2,king,char__king,How are you today?,,,True,False
utt__train_ep_001422__003,train_ep_001422,3,gardener pulling weeds,char__gardener_pulling_weeds,"I'm doing well, just doing some work here in the gardens. What are you doing here?",,,False,False
utt__train_ep_001422__004,train_ep_001422,4,king,char__king,You dare question the king?,,,True,True
utt__train_ep_001422__005,train_ep_001422,5,gardener pulling weeds,char__gardener_pulling_weeds,"No no, I was just wondering as you are not around here too often.",,,False,False
utt__train_ep_001422__006,train_ep_001422,6,king,char__king,Its ok. I need some rose flowers indoor.,,,True,False
utt__train_ep_001422__007,train_ep_001422,7,gardener pulling weeds,char__gardener_pulling_weeds,"Ah I see, here let me get that for you.",,give plant to king,False,False
utt__train_ep_001422__008,train_ep_001422,8,king,char__king,No..you come place them inside..,,,True,False
utt__train_ep_001422__009,train_ep_001422,9,gardener pulling weeds,char__gardener_pulling_weeds,"Ohh, well okay your majesty. ",frown,,False,False
utt__train_ep_001422__010,train_ep_001422,10,king,char__king,Great. Wash your feet before stepping in!,,,True,False
utt__train_ep_001422__011,train_ep_001422,11,gardener pulling weeds,char__gardener_pulling_weeds,I took my shoes off so there is no need to worry about that.,,,False,False
utt__train_ep_001422__012,train_ep_001422,12,king,char__king,Good. I love it when the Palace is impeccably neat.,,,True,False
utt__train_ep_001422__013,train_ep_001422,13,gardener pulling weeds,char__gardener_pulling_weeds,"Of course, your majesty.",grin,,False,False
utt__train_ep_001438__000,train_ep_001438,0,princess,char__princess,"Daddy, are you sure I have to marry that horrid Viscount? ",,,False,False
utt__train_ep_001438__001,train_ep_001438,1,king,char__king,You have no choice princess,,,True,False
utt__train_ep_001438__002,train_ep_001438,2,princess,char__princess,But why him?! What does it do for you?,,,False,False
utt__train_ep_001438__003,train_ep_001438,3,king,char__king,It is a little bit hard to explain princess,,,True,False
utt__train_ep_001438__004,train_ep_001438,4,princess,char__princess,That sounds like you just don't have a reason or don't want to tell me it!,,,False,False
utt__train_ep_001438__005,train_ep_001438,5,king,char__king, Viscount is the only one with the key to eternal reign my dear.,,,True,False
utt__train_ep_001438__006,train_ep_001438,6,princess,char__princess,"Explain yourself, what do you mean by that daddy?",frown,,False,False
utt__train_ep_001438__007,train_ep_001438,7,king,char__king,He delivered the ruling power to my great grand father. He is ageless,,,True,False
utt__train_ep_001438__008,train_ep_001438,8,princess,char__princess,But what does this have to do with me marrying him? Gaining his trust?,,,False,False
utt__train_ep_001438__009,train_ep_001438,9,king,char__king,yes. Exactly my dear,,,True,False
utt__train_ep_001438__010,train_ep_001438,10,princess,char__princess,You'd sell your own daughter off for that? That's inhumane!,,,False,False
utt__train_ep_001438__011,train_ep_001438,11,king,char__king,It is better for us to be safe. ,,,True,False
utt__train_ep_001438__012,train_ep_001438,12,princess,char__princess,But I wouldn't be safe nor would I be happy!,,,False,False
utt__train_ep_001438__013,train_ep_001438,13,king,char__king,You will be safe. Your safety is the price for the happiness and that of the whole kingdom,,,True,False
utt__train_ep_001493__000,train_ep_001493,0,servant,char__servant,Your highness and your ladyship. I am hear for what you may need.,,,False,False
utt__train_ep_001493__001,train_ep_001493,1,king,char__king,"Well, servant, you need to do your daily list of tasks. Cleaning, cooking, all that!",,,True,False
utt__train_ep_001493__002,train_ep_001493,2,servant,char__servant,"Of course, oh Great King. ",nod,,False,True
utt__train_ep_001493__003,train_ep_001493,3,king,char__king,Where do you intend to start?,,,True,False
utt__train_ep_001493__004,train_ep_001493,4,servant,char__servant,I will start on your royal throne. I am so thankful to have this fine work you have given me.,,,False,False
utt__train_ep_001493__005,train_ep_001493,5,king,char__king,"Of course, servant, now begin your work.",,,True,False
utt__train_ep_001493__006,train_ep_001493,6,servant,char__servant,I will your highness. Is there anything else I can do for your greatness today?,smile,,False,False
utt__train_ep_001493__007,train_ep_001493,7,king,char__king,Well tell me when you are done with your list of work and I will have you deliver a message for me.,,,True,False
utt__train_ep_001493__008,train_ep_001493,8,servant,char__servant,I am ready now your highness.,,remove apron,False,False
utt__train_ep_001493__009,train_ep_001493,9,king,char__king,But you haven't cleaned the floors or cooked anything!,,,True,False
utt__train_ep_001493__010,train_ep_001493,10,servant,char__servant,"I apologize your highness. With night coming on, I felt it safer to deliver the message now.",,,False,False
utt__train_ep_001493__011,train_ep_001493,11,king,char__king,"It is quite alright, we will have a knight escort you so there is no need to worry.",,,True,False
utt__train_ep_001493__012,train_ep_001493,12,servant,char__servant,"Oh, thank you. You are of course quite right.",sigh,,False,False
utt__train_ep_001493__013,train_ep_001493,13,king,char__king,"That I am, good servant. Now, begin where the list tells you to begin.",,,True,False
utt__train_ep_001494__000,train_ep_001494,0,officer,char__officer,"Oh hello your majesty, you alright today?",,,False,False
utt__train_ep_001494__001,train_ep_001494,1,king,char__king,"Indeed, I am doing very well today, this is such a wonderful place to be",,wear crown,True,False
utt__train_ep_001494__002,train_ep_001494,2,officer,char__officer,As am I. I can't wait to show that neighboring nation what our army is made of!,,,False,False
utt__train_ep_001494__003,train_ep_001494,3,king,char__king,"Yes, the time will indeed come to do so",,,True,False
utt__train_ep_001494__004,train_ep_001494,4,officer,char__officer,"I know, sir, but I just want it to be soon.",,,False,False
utt__train_ep_001494__005,train_ep_001494,5,king,char__king,Why? I fear you are too eager for a war,,,True,False
utt__train_ep_001494__006,train_ep_001494,6,officer,char__officer,"I mean I am the army's officer, I strive to see them improve and what better way to see that?",,,False,False
