normalized_name,canonical_name,location_category,target_persona_episode_count
apothecary,Apothecary,Town,16
grand balcony,Grand balcony,Inside Palace,14
kitchens,kitchens,Inside Tower,14
washroom,washroom,Inside Castle,14
secret tunnel,Secret Tunnel,Inside Castle,13
entrance to castle,Entrance to castle,Outside Castle,12
blacksmith,Blacksmith,Bazaar,12
great armory,Great Armory,Inside Castle,11
royal bathroom,Royal Bathroom,Inside Castle,11
torture equipment storage room,Torture equipment storage room,Dungeon,11
dining hall,Dining hall,Inside Castle,11
across the king's garden,Across the King's Garden,Trail,10
palace entrance,Palace Entrance,Inside Palace,10
throne room,Throne room,Inside Tower,10
king's quarters,King's Quarters,Shore,10
main foyer,main foyer,Inside Castle,9
lower dungeon guard room,The Lower Dungeon Guard Room,Dungeon,9
lavoratory,Lavoratory,Inside Castle,9
castle exit,castle exit,Inside Castle,9
main castle doors,main castle doors,Outside Palace,8
church garden,Church garden,Outside Church,8
princess' library,Princess' Library,Inside Palace,8
tub,Tub,Inside Tower,8
balcony,Balcony,Inside Palace,8
courtyard exterior,Courtyard exterior,Outside Palace,7
bottlery,The Bottlery,Inside Castle,7
royal gardens,Royal Gardens,Outside Palace,6
debtor's prison,Debtor's Prison,Inside Tower,6
market center,Market Center,Tavern,6
countryside,Countryside,Countryside,6
town center,Town center,Town,6
basement,Basement,Inside Castle,6
garden courtyard,The garden courtyard,Inside Castle,6
inside the king's castle,Inside the King's Castle,Inside Tower,5
attic,attic,Inside Palace,5
confessions room,Confessions room,Inside Church,4
castle kitchen,Castle Kitchen,Inside Castle,3
treasure room,Treasure Room,Inside Castle,2
castle kitchens,Castle Kitchens,Inside Palace,2
