character_id,utterance_id,episode_id,turn_index
char__court_wizard,utt__train_ep_000000__000,train_ep_000000,0
char__soldier,utt__train_ep_000000__001,train_ep_000000,1
char__court_wizard,utt__train_ep_000000__002,train_ep_000000,2
char__soldier,utt__train_ep_000000__003,train_ep_000000,3
char__court_wizard,utt__train_ep_000000__004,train_ep_000000,4
char__soldier,utt__train_ep_000000__005,train_ep_000000,5
char__court_wizard,utt__train_ep_000000__006,train_ep_000000,6
char__soldier,utt__train_ep_000000__007,train_ep_000000,7
char__court_wizard,utt__train_ep_000000__008,train_ep_000000,8
char__soldier,utt__train_ep_000000__009,train_ep_000000,9
char__court_wizard,utt__train_ep_000000__010,train_ep_000000,10
char__soldier,utt__train_ep_000000__011,train_ep_000000,11
char__court_wizard,utt__train_ep_000000__012,train_ep_000000,12
char__soldier,utt__train_ep_000000__013,train_ep_000000,13
char__thief,utt__train_ep_000001__000,train_ep_000001,0
char__person,utt__train_ep_000001__001,train_ep_000001,1
char__thief,utt__train_ep_000001__002,train_ep_000001,2
char__person,utt__train_ep_000001__003,train_ep_000001,3
char__thief,utt__train_ep_000001__004,train_ep_000001,4
char__person,utt__train_ep_000001__005,train_ep_000001,5
char__thief,utt__train_ep_000001__006,train_ep_000001,6
char__person,utt__train_ep_000001__007,train_ep_000001,7
char__thief,utt__train_ep_000001__008,train_ep_000001,8
char__person,utt__train_ep_000001__009,train_ep_000001,9
char__thief,utt__train_ep_000001__010,train_ep_000001,10
char__person,utt__train_ep_000001__011,train_ep_000001,11
char__thief,utt__train_ep_000001__012,train_ep_000001,12
char__person,utt__train_ep_000001__013,train_ep_000001,13
char__witch,utt__train_ep_000002__000,train_ep_000002,0
char__fairy,utt__train_ep_000002__001,train_ep_000002,1
char__witch,utt__train_ep_000002__002,train_ep_000002,2
char__fairy,utt__train_ep_000002__003,train_ep_000002,3
char__witch,utt__train_ep_000002__004,train_ep_000002,4
char__fairy,utt__train_ep_000002__005,train_ep_000002,5
char__witch,utt__train_ep_000002__006,train_ep_000002,6
char__fairy,utt__train_ep_000002__007,train_ep_000002,7
char__witch,utt__train_ep_000002__008,train_ep_000002,8
char__fairy,utt__train_ep_000002__009,train_ep_000002,9
char__witch,utt__train_ep_000002__010,train_ep_000002,10
char__fairy,utt__train_ep_000002__011,train_ep_000002,11
char__witch,utt__train_ep_000002__012,train_ep_000002,12
char__fairy,utt__train_ep_000002__013,train_ep_000002,13
char__guard,utt__train_ep_000003__000,train_ep_000003,0
char__prisoner,utt__train_ep_000003__001,train_ep_000003,1
char__guard,utt__train_ep_000003__002,train_ep_000003,2
char__prisoner,utt__train_ep_000003__003,train_ep_000003,3
char__guard,utt__train_ep_000003__004,train_ep_000003,4
char__prisoner,utt__train_ep_000003__005,train_ep_000003,5
char__guard,utt__train_ep_000003__006,train_ep_000003,6
char__prisoner,utt__train_ep_000003__007,train_ep_000003,7
char__guard,utt__train_ep_000003__008,train_ep_000003,8
char__prisoner,utt__train_ep_000003__009,train_ep_000003,9
char__guard,utt__train_ep_000003__010,train_ep_000003,10
char__prisoner,utt__train_ep_000003__011,train_ep_000003,11
char__guard,utt__train_ep_000003__012,train_ep_000003,12
char__prisoner,utt__train_ep_000003__013,train_ep_000003,13
char__king,utt__train_ep_000004__000,train_ep_000004,0
char__archer,utt__train_ep_000004__001,train_ep_000004,1
char__king,utt__train_ep_000004__002,train_ep_000004,2
char__archer,utt__train_ep_000004__003,train_ep_000004,3
char__king,utt__train_ep_000004__004,train_ep_000004,4
char__archer,utt__train_ep_000004__005,train_ep_000004,5
char__king,utt__train_ep_000004__006,train_ep_000004,6
char__archer,utt__train_ep_000004__007,train_ep_000004,7
char__king,utt__train_ep_000004__008,train_ep_000004,8
char__archer,utt__train_ep_000004__009,train_ep_000004,9
char__king,utt__train_ep_000004__010,train_ep_000004,10
char__archer,utt__train_ep_000004__011,train_ep_000004,11
char__king,utt__train_ep_000004__012,train_ep_000004,12
char__archer,utt__train_ep_000004__013,train_ep_000004,13
char__princess,utt__train_ep_000005__000,train_ep_000005,0
char__troll,utt__train_ep_000005__001,train_ep_000005,1
char__princess,utt__train_ep_000005__002,train_ep_000005,2
char__troll,utt__train_ep_000005__003,train_ep_000005,3
char__princess,utt__train_ep_000005__004,train_ep_000005,4
char__troll,utt__train_ep_000005__005,train_ep_000005,5
char__princess,utt__train_ep_000005__006,train_ep_000005,6
char__troll,utt__train_ep_000005__007,train_ep_000005,7
char__princess,utt__train_ep_000005__008,train_ep_000005,8
char__troll,utt__train_ep_000005__009,train_ep_000005,9
char__princess,utt__train_ep_000005__010,train_ep_000005,10
char__troll,utt__train_ep_000005__011,train_ep_000005,11
char__princess,utt__train_ep_000005__012,train_ep_000005,12
char__troll,utt__train_ep_000005__013,train_ep_000005,13
char__field_mice,utt__train_ep_000006__000,train_ep_000006,0
char__garter_snake,utt__train_ep_000006__001,train_ep_000006,1
char__field_mice,utt__train_ep_000006__002,train_ep_000006,2
char__garter_snake,utt__train_ep_000006__003,train_ep_000006,3
char__field_mice,utt__train_ep_000006__004,train_ep_000006,4
char__garter_snake,utt__train_ep_000006__005,train_ep_000006,5
char__field_mice,utt__train_ep_000006__006,train_ep_000006,6
char__garter_snake,utt__train_ep_000006__007,train_ep_000006,7
char__field_mice,utt__train_ep_000006__008,train_ep_000006,8
char__garter_snake,utt__train_ep_000006__009,train_ep_000006,9
char__field_mice,utt__train_ep_000006__010,train_ep_000006,10
char__garter_snake,utt__train_ep_000006__011,train_ep_000006,11
char__field_mice,utt__train_ep_000006__012,train_ep_000006,12
char__garter_snake,utt__train_ep_000006__013,train_ep_000006,13
char__cockroach,utt__train_ep_000007__000,train_ep_000007,0
char__firemen,utt__train_ep_000007__001,train_ep_000007,1
char__cockroach,utt__train_ep_000007__002,train_ep_000007,2
char__firemen,utt__train_ep_000007__003,train_ep_000007,3
char__cockroach,utt__train_ep_000007__004,train_ep_000007,4
char__firemen,utt__train_ep_000007__005,train_ep_000007,5
char__cockroach,utt__train_ep_000007__006,train_ep_000007,6
char__firemen,utt__train_ep_000007__007,train_ep_000007,7
char__cockroach,utt__train_ep_000007__008,train_ep_000007,8
char__firemen,utt__train_ep_000007__009,train_ep_000007,9
char__cockroach,utt__train_ep_000007__010,train_ep_000007,10
char__firemen,utt__train_ep_000007__011,train_ep_000007,11
char__cockroach,utt__train_ep_000007__012,train_ep_000007,12
char__firemen,utt__train_ep_000007__013,train_ep_000007,13
char__villager,utt__train_ep_000008__000,train_ep_000008,0
char__homeless_man,utt__train_ep_000008__001,train_ep_000008,1
char__villager,utt__train_ep_000008__002,train_ep_000008,2
char__homeless_man,utt__train_ep_000008__003,train_ep_000008,3
char__mice,utt__train_ep_000009__000,train_ep_000009,0
char__knight,utt__train_ep_000009__001,train_ep_000009,1
char__mice,utt__train_ep_000009__002,train_ep_000009,2
