normalized_name,canonical_name,object_count_in_king_episodes,is_background_object,is_story_relevant_candidate
table,Table,4138,True,False
candle,Candle,2905,True,False
wall,Wall,2838,True,False
tree,Tree,2532,False,False
window,Window,2422,True,False
door,Door,2388,True,False
flower,Flower,2329,False,False
bed,Bed,2252,True,False
chair,Chair,2131,True,False
tapestry,Tapestry,1842,False,False
gold,Gold,1772,False,True
sword,Sword,1745,False,True
painting,Painting,1470,False,False
torch,Torch,1431,True,False
weapon,Weapon,1420,False,False
bench,Bench,1337,True,False
book,Book,1262,False,True
statue,Statue,1213,False,False
plate,Plate,1108,False,False
shelf,Shelf,1098,True,False
rug,Rug,1084,True,False
stone,Stone,1078,False,False
chandelier,Chandelier,1043,False,False
rock,Rock,984,False,False
food,Food,953,False,False
armor,Armor,950,False,True
grass,Grass,905,False,False
bone,Bone,898,False,False
building,Building,846,False,False
castle,Castle,840,False,False
floor,Floor,808,True,False
ceiling,Ceiling,789,True,False
red carpet,Red Carpet,785,False,False
room,Room,739,True,False
throne,Throne,731,False,True
bar,Bar,728,False,False
tool,Tool,714,False,False
pot,Pot,680,False,False
knife,Knife,655,False,True
tower,Tower,651,False,False
jewel,Jewel,637,False,True
golden throne,Golden Throne,601,False,True
moss,Moss,580,False,False
shrub,Shrub,561,False,False
fountain,Fountain,551,False,False
water,Water,550,False,False
dirt,Dirt,537,False,False
sand,Sand,532,False,False
hay,Hay,530,False,False
sapphire,Sapphire,515,False,False
chain,Chain,505,False,False
mirror,Mirror,500,False,False
stair,Stair,500,False,False
seat,Seat,493,False,False
cross,Cross,482,False,False
horse,Horse,482,False,False
curtain,Curtain,481,True,False
coin,Coin,480,False,True
silverware,Silverware,476,False,False
shackle,Shackle,475,False,False
hill,Hill,465,False,False
large ornate table,Large Ornate Table,464,False,False
wood,Wood,461,False,False
rope,Rope,455,False,False
walkway,Walkway,438,False,False
cloth,Cloth,435,False,False
linen,Linen,435,False,False
moat,Moat,433,False,False
altar,Altar,425,False,False
piece,Piece,424,False,False
rack,Rack,421,False,False
silver,Silver,418,False,False
idol,Idol,416,False,False
stained glass,Stained Glass,409,False,False
skeleton,Skeleton,402,False,False
temple,Temple,400,False,False
blanket,Blanket,399,False,False
plant,Plant,399,False,False
palace,Palace,396,False,False
arrow,Arrow,394,False,False
desk,Desk,392,False,False
ornament,Ornament,388,False,False
crown,Crown,379,False,True
banner,Banner,375,False,False
pew,Pew,373,False,False
ruby,Ruby,373,False,False
axe,Axe,367,False,False
bow,Bow,364,False,False
mace,Mace,359,False,False
boat,Boat,350,False,False
ocean,Ocean,341,False,False
mud,Mud,340,False,False
large chest of drawers,Large Chest Of Drawers,337,False,True
large four poster bed,Large Four Poster Bed,337,False,False
shield,Shield,334,False,True
wooden table,Wooden Table,331,False,False
jewelry,Jewelry,324,False,False
wood trim,Wood Trim,323,False,False
light,Light,322,False,False
hanging tapestry,Hanging Tapestry,321,False,False
parchment,Parchment,321,False,False
plank,Plank,319,False,False
rainbow,Rainbow,319,False,False
entrance,Entrance,316,False,False
swamp,Swamp,315,False,False
fence,Fence,313,False,False
pike,Pike,310,False,False
pan,Pan,306,False,False
alter,Alter,304,False,False
marble floor,Marble Floor,303,False,False
murals,Murals,303,False,False
drapes,Drapes,299,False,False
meadow,Meadow,295,False,False
sand that is white as snow,Sand That Is White As Snow,289,False,False
tombstone,Tombstone,289,False,False
goblet,Goblet,287,False,False
beach,Beach,284,False,False
kings throne,Kings Throne,283,False,True
big chandelier,Big Chandelier,283,False,False
bows,Bows,281,False,False
mountain,Mountain,281,False,False
tape,Tape,279,False,False
oven,Oven,275,False,False
remains,Remains,275,False,False
sun,Sun,274,False,False
lantern,Lantern,273,True,False
treasure,Treasure,273,False,True
picture,Picture,269,False,False
rose bush,Rose Bush,269,False,False
small lake,Small Lake,269,False,False
church,Church,268,False,False
well,Well,267,False,False
lookout tower,Lookout Tower,267,False,False
wooden floors,Wooden Floors,267,False,False
spiral staircase,Spiral Staircase,267,False,False
woodland,Woodland,267,False,False
grey brick,Grey Brick,266,False,False
gold-laced furniture,Gold-Laced Furniture,266,False,False
king,King,266,False,False
dinner,Dinner,266,False,False
hand carved stone,Hand Carved Stone,264,False,False
duvet,Duvet,262,False,False
small metal fence,Small Metal Fence,261,False,False
large wardrobe,Large Wardrobe,260,False,False
fancy roof,Fancy Roof,260,False,False
central atrium,Central Atrium,260,False,False
shape of a large rectangle,Shape Of A Large Rectangle,260,False,False
hedge,Hedge,260,False,False
garden plot,Garden Plot,260,False,False
large bed,Large Bed,260,False,False
large tapestry,Large Tapestry,260,False,False
wooden headboard,Wooden Headboard,260,False,False
beautiful courtyard,Beautiful Courtyard,260,False,False
summer palace,Summer Palace,260,False,False
huge pavilion of stone patio,Huge Pavilion Of Stone Patio,260,False,False
arcadian garden,Arcadian Garden,260,False,False
meal,Meal,259,False,False
stones,Stones,259,False,False
treasure chest,Treasure Chest,259,False,True
stage,Stage,259,False,False
robe,Robe,259,False,False
tassel,Tassel,258,False,False
sheep,Sheep,255,False,False
mahogany writing desk,Mahogany Writing Desk,254,False,False
mast,Mast,254,False,False
giant four poster bed,Giant Four Poster Bed,254,False,False
fire,Fire,253,False,False
precious stone,Precious Stone,252,False,False
hook,Hook,251,False,False
suit of armor,Suit Of Armor,251,False,True
spears,Spears,249,False,False
pillow,Pillow,248,False,False
gold cup,Gold Cup,247,False,True
goblets,Goblets,245,False,False
statue of a god,Statue Of A God,244,False,False
finest silk and velvet,Finest Silk And Velvet,242,False,False
fur carpet,Fur Carpet,242,False,False
dock,Dock,241,False,False
spike,Spike,241,False,False
royal blue canopy,Royal Blue Canopy,241,False,False
intricate labyrinth made of shrubs,Intricate Labyrinth Made Of Shrubs,241,False,False
gauzy purple fabric,Gauzy Purple Fabric,239,False,False
sacred flame,Sacred Flame,238,False,False
bedding,Bedding,238,False,False
crossbow,Crossbow,237,False,False
box,Box,237,False,False
golden table,Golden Table,236,False,False
small window,Small Window,235,False,False
small wooden table,Small Wooden Table,235,False,False
clothing,Clothing,234,False,False
iron grill,Iron Grill,233,False,False
long wooden tables,Long Wooden Tables,233,False,False
water is as clear as a crystal,Water Is As Clear As A Crystal,233,False,False
vast ceilings,Vast Ceilings,232,False,False
higher dining table,Higher Dining Table,232,False,False
goddess,Goddess,231,False,False
utensil,Utensil,231,False,False
clothes,Clothes,229,False,False
carving,Carving,229,False,False
doorway,Doorway,228,False,False
staircase,Staircase,228,False,False
crystal,Crystal,228,False,False
balcony,Balcony,228,False,False
animal,Animal,226,False,False
deck,Deck,226,False,False
map of the kingdom,Map Of The Kingdom,225,False,True
trail,Trail,225,False,False
large stone fireplace,Large Stone Fireplace,225,False,False
mattress,Mattress,225,False,False
more-than-king-sized bed,More-Than-King-Sized Bed,224,False,False
self-portrait,Self-Portrait,224,False,False
fairy lights,Fairy Lights,224,False,False
portraits,Portraits,224,False,False
bucket,Bucket,224,False,False
path,Path,223,False,False
carpet,Carpet,222,True,False
scent,Scent,222,False,False
dog,Dog,222,False,False
closet,Closet,221,False,False
dried blood,Dried Blood,219,False,False
market,Market,218,False,False
shop,Shop,218,False,False
bell,Bell,218,False,False
various diamonds,Various Diamonds,216,False,False
king's clothing,King'S Clothing,215,False,False
ground,Ground,215,False,False
handmade rug,Handmade Rug,213,False,False
house,House,211,False,False
grave,Grave,211,False,False
manikin,Manikin,210,False,False
execution stand,Execution Stand,210,False,False
red brick,Red Brick,209,False,False
tomb,Tomb,208,False,False
trunk,Trunk,207,False,False
scroll,Scroll,205,False,True
necklaces,Necklaces,204,False,False
priceless painting of past kings,Priceless Painting Of Past Kings,204,False,False
vaulted ceiling,Vaulted Ceiling,204,False,False
smell,Smell,202,False,False
skeletons,Skeletons,202,False,False
pitchfork,Pitchfork,200,False,False
lamp,Lamp,200,True,False
cell,Cell,200,False,False
hand carved 30 person kings dining table,Hand Carved 30 Person Kings Dining Table,198,False,False
priceless painting,Priceless Painting,198,False,False
hand woven rug,Hand Woven Rug,198,False,False
gift,Gift,198,False,False
gold plated dome,Gold Plated Dome,198,False,True
heavy trunks,Heavy Trunks,198,False,False
decoration,Decoration,197,False,False
stack of hay,Stack Of Hay,197,False,False
tulip,Tulip,197,False,False
highly fortified tower,Highly Fortified Tower,197,False,False
furniture,Furniture,197,False,False
barnacle,Barnacle,197,False,False
cover,Cover,196,False,False
red wine,Red Wine,196,False,False
bookcase,Bookcase,195,False,False
long windows,Long Windows,195,False,False
long hallway,Long Hallway,195,False,False
long table,Long Table,195,False,False
main hall,Main Hall,195,False,False
fluffy pillows,Fluffy Pillows,195,False,False
weed,Weed,193,False,False
meat,Meat,193,False,False
stall,Stall,191,False,False
polished gold,Polished Gold,190,False,True
small table,Small Table,190,False,False
