persona_id,agent_name,persona,episode_count,agent_count,example_episode_id,example_split,example_setting_name,example_setting_category,rank
persona__f9e1d9295997,king,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,332,332,train_ep_001422,train,Royal Gardens,Outside Palace,1
persona__37b5382c20af,king,"I am the king. I rule this kingdom alongside my wife, the queen. It is my divine right to be the king because my father was the king before me.",291,291,train_ep_000046,train,Black Smiths shop,Town,2
persona__c5867370016d,king,I rule over many people. I spend my days in leisure and comfort. I don't like people that I think are below me.,108,108,train_ep_001372,train,The Great Hall,Inside Tower,3
persona__44a8766492ce,king,"I am the king of my lands, or, I used to be. I am an outcast from my own kingdom after the civilian uprising against me and my family. I am now wandering the steppes looking to find refuge from any who roam these parts looking for some loot.",46,46,unseen_ep_000015,unseen,The dungeon,underwater aquapolis,4
persona__e81ee2a30fdd,king,I am the king of a small province. I am rotund and enjoy eating pie. I sit on my throne to listen to complaints.,38,38,train_ep_001388,train,Master Bedroom,Inside Palace,5
persona__4161d99ca83d,king,I am a king who was destined to rule. I am known for having a short temper. I kill those who rebel against me.,31,31,train_ep_000136,train,palace ballroom,Inside Palace,6
persona__82f87f52df89,king,"I was born into power. I was raised to rule and have a very egotistical way of looking at the world. I control the fates of many people, which is how it should be.",31,31,train_ep_000158,train,Master Bedroom,Inside Castle,7
persona__9b3c93ae5ab5,king,I am the most powerful man in the country. I like that people fear me. I will destroy all that oppose me.,20,20,train_ep_000076,train,Across the King's Garden,Trail,8
persona__d062ce11e9ee,king,"I am a King who rules a vast and mighty land. I have a General who is my best friend. I believe in peace through strength, and I love to have a big army. I like to celebrate with wine and meats!",13,13,train_ep_000547,train,The room at the top of the tower,Inside Castle,9
persona__141f7ceb5007,king,I am the king of this great land. I collect many leather-bound volumes in my library. I am kind but firm.,12,12,train_ep_000091,train,Weapon Closet,Inside Tower,10
persona__e91667d67afe,king,I am the king. I rule over a kingdom. I enjoy butter in the morning.,11,11,train_ep_000176,train,Banquet Hall,Inside Castle,11
persona__e65c877221f5,king,I am the ruler of this Kingdom! I reign over this kingdom with an iron will! I love to crush my enemies' armies to protect our great land!,8,8,unseen_ep_000047,unseen,Den,frozen tundra,12
persona__2375b9e4778d,king,"I am part of a Royal Alliance. It does my country no good to be constantly bickering with our neighbors, so I agreed to a peace treaty. It is grand to have stability, though I do sort of miss the excitement of battle.",4,4,unseen_ep_000029,unseen,The devils castle,netherworld,13
persona__7ebbf11239ed,king,I am the king of this country and have been so ever since my father was killed in a riding accident. I am frequently bored and aloof toward my country's affairs. I prefer to spend my time drinking wine and chasing handmaidens.,4,4,train_ep_000004,train,Master Bedroom,Inside Palace,14
persona__2a810b72722e,king,I am a king that succeeded my father. I show mercy to anyone who asks for it. I enjoy polishing my crown personally.,2,2,train_ep_000981,train,Royal Kitchen,Inside Palace,15
