episode_id,split,king_direct_appearance,king_speaker,king_mention,king_mention_count,king_persona_mention,king_persona_mention_count,king_relevance_score,is_king_related,is_king_strong,king_relation_type,utterance_count
train_ep_000000,train,False,False,True,1,True,1,2,True,True,speech_mention,14
train_ep_000001,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000002,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000003,train,False,False,True,3,True,1,4,True,True,speech_mention,14
train_ep_000004,train,True,True,False,0,True,1,9,True,True,direct_appearance,14
train_ep_000005,train,False,False,False,0,True,1,1,True,True,persona_mention,14
train_ep_000006,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000007,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000008,train,False,False,False,0,False,0,0,False,False,none,4
train_ep_000009,train,False,False,False,0,False,0,0,False,False,none,7
train_ep_000010,train,False,False,True,3,True,1,4,True,True,speech_mention,14
train_ep_000011,train,False,False,False,0,False,0,0,False,False,none,4
train_ep_000012,train,False,False,False,0,False,0,0,False,False,none,11
train_ep_000013,train,False,False,True,1,False,0,1,True,False,speech_mention,14
train_ep_000014,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000015,train,False,False,True,2,False,0,2,True,True,speech_mention,14
train_ep_000016,train,False,False,False,0,False,0,0,False,False,none,2
train_ep_000017,train,False,False,True,4,True,1,5,True,True,speech_mention,14
train_ep_000018,train,False,False,True,1,False,0,1,True,False,speech_mention,14
train_ep_000019,train,False,False,False,0,False,0,0,False,False,none,8
train_ep_000020,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000021,train,False,False,False,0,True,1,1,True,True,persona_mention,14
train_ep_000022,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000023,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000024,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000025,train,False,False,False,0,False,0,0,False,False,none,5
train_ep_000026,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000027,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000028,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000029,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000030,train,False,False,True,2,True,1,3,True,True,speech_mention,7
train_ep_000031,train,False,False,False,0,True,1,1,True,True,persona_mention,8
train_ep_000032,train,False,False,True,3,True,1,4,True,True,speech_mention,14
train_ep_000033,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000034,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000035,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000036,train,False,False,False,0,False,0,0,False,False,none,14
train_ep_000037,train,False,False,False,0,False,0,0,False,False,none,13
train_ep_000038,train,False,False,False,0,False,0,0,False,False,none,3
train_ep_000039,train,False,False,False,0,True,1,1,True,True,persona_mention,14
train_ep_000040,train,False,False,True,5,True,2,7,True,True,speech_mention,14
train_ep_000041,train,False,False,False,0,False,0,0,False,False,none,14
