episode_id,split,target_agent_name,target_persona_id,target_persona,target_persona_agent_count_in_episode,utterance_count,agent_count
train_ep_001422,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001438,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001493,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001494,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001501,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001679,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001693,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001695,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001710,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001731,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,5,2
train_ep_001736,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001739,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001755,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001779,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001781,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,10,2
train_ep_001804,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001810,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001812,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001826,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,12,2
train_ep_001838,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_001876,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
train_ep_002010,train,king,persona__f9e1d9295997,I am a king of the whole empire. I give rules and pursuit them. I am brave and fearless.,1,14,2
