source_character_id,target_character_id,source_character_name,target_character_name,co_episode_count,is_focus_character_pair
char__court_wizard,char__soldier,court wizard,soldier,1,False
char__person,char__thief,person,thief,8,False
char__fairy,char__witch,fairy,witch,2,False
char__guard,char__prisoner,guard,prisoner,17,False
char__archer,char__king,archer,king,3,True
char__princess,char__troll,princess,troll,6,False
char__field_mice,char__garter_snake,field mice,garter snake,2,False
char__cockroach,char__firemen,cockroach,firemen,1,False
char__homeless_man,char__villager,homeless man,villager,1,False
char__knight,char__mice,knight,mice,15,False
char__mystical_lion,char__wizard_overseer,mystical lion,wizard overseer,6,False
char__priest,char__reindeer,priest,reindeer,1,False
char__werewolf,char__witch,werewolf,witch,5,False
char__fly,char__giant_frog,fly,giant frog,13,False
char__descendant_of_the_sons,char__ghost,descendant of the sons,ghost,3,False
char__knight,char__lady_of_the_court,knight,lady of the court,3,False
char__bandit,char__thief,bandit,thief,2,False
char__knight,char__visitor,knight,visitor,3,False
char__horse,char__queen,horse,queen,3,False
char__assistant,char__bazaar_owner,assistant,bazaar owner,3,False
char__knight,char__pet_dog,knight,pet dog,1,False
char__messenger,char__prince,messenger,prince,2,False
char__friend,char__townsperson,friend,townsperson,1,False
char__drunkard,char__sailor,drunkard,sailor,5,False
char__fairy,char__person,fairy,person,3,False
char__parishioner,char__petitioner,parishioner,petitioner,2,False
char__ghost,char__pirate,ghost,pirate,1,False
char__enemy,char__horse,enemy,horse,9,False
char__fairy,char__thing,fairy,thing,1,False
char__dogs,char__village_chief,dogs,village chief,1,False
char__barn_cat,char__enemy,barn cat,enemy,1,False
char__guard,char__wall_repairman,guard,wall repairman,3,False
char__king_fulmer,char__soldier_named_zinney,king fulmer,soldier named zinney,6,False
char__person,char__scullery_boy,person,scullery boy,4,False
char__lost_traveler,char__roach,lost traveler,roach,2,False
char__concubine,char__foreign_ambassador,concubine,foreign ambassador,1,False
char__eunuch,char__farmer_bob_s_wife,eunuch,farmer bob's wife,1,False
char__pet,char__resident,pet,resident,7,False
char__person,char__squirrel,person,squirrel,7,False
char__grandfather,char__grandmother,grandfather,grandmother,2,False
char__advisor,char__royal_prince,advisor,royal prince,3,False
char__companion,char__person,companion,person,1,False
char__rabbit,char__squirrel,rabbit,squirrel,2,False
char__bat,char__caveman,bat,caveman,3,False
char__robber,char__witch,robber,witch,1,False
char__farmer,char__peasant,farmer,peasant,8,False
char__king,char__sell_swords,king,sell swords,1,True
char__humble_knight,char__lord,humble knight,lord,6,False
char__blacksmith,char__knight,blacksmith,knight,6,False
char__rat,char__rival,rat,rival,1,False
char__groundskeeper_of_the_castle,char__pet_goldfish,groundskeeper of the castle,pet goldfish,3,False
char__dogs,char__queen,dogs,queen,3,False
char__ghosts_of_previous_occupants,char__spider,ghosts of previous occupants,spider,1,False
char__choir_room,char__person,choir room,person,2,False
char__guard,char__person,guard,person,29,False
char__person,char__spelunker,person,spelunker,1,False
char__butterfly,char__fox,butterfly,fox,3,False
char__princess,char__queen,princess,queen,12,False
char__king,char__subjects,king,subjects,7,True
char__bride,char__people,bride,people,3,False
char__king,char__princess,king,princess,17,True
char__knight,char__serving_wench,knight,serving wench,1,False
char__bartender,char__guard,bartender,guard,1,False
char__altar_boy,char__raccoon,altar boy,raccoon,2,False
char__nun,char__priest,nun,priest,13,False
char__dockworker,char__merchant,dockworker,merchant,1,False
char__hiker,char__yeti,hiker,yeti,1,False
char__ambassador,char__servant,ambassador,servant,4,False
char__altar_boy,char__priest,altar boy,priest,11,False
char__blacksmith,char__merchant,blacksmith,merchant,5,False
char__soldier,char__war_officer,soldier,war officer,2,False
char__emperor,char__future_heir_to_the_throne,emperor,future heir to the throne,1,False
char__barbarian,char__homeless_person,barbarian,homeless person,3,False
char__acolyte,char__farmer,acolyte,farmer,1,False
char__king,char__officer,king,officer,7,True
char__king,char__maid,king,maid,40,True
char__brother,char__customer,brother,customer,3,False
char__old_man,char__police,old man,police,2,False
char__queen,char__witch,queen,witch,4,False
char__dragon,char__knight,dragon,knight,5,False
char__cleaning_maid,char__person,cleaning maid,person,1,False
char__faerie,char__talking_cat,faerie,talking cat,1,False
char__boy,char__girl,boy,girl,1,False
char__ghost,char__trolls,ghost,trolls,1,False
char__geese,char__townperson,geese,townperson,1,False
char__butler,char__cook,butler,cook,1,False
char__chef,char__thief,chef,thief,1,False
char__congregant,char__priests,congregant,priests,2,False
char__fool,char__queen,fool,queen,1,False
char__king,char__knight,king,knight,26,True
char__cat,char__maid,cat,maid,2,False
char__father,char__napping_mouse,father,napping mouse,2,False
char__mouse,char__stable_caretaker,mouse,stable caretaker,1,False
char__chef,char__cleaning_person,chef,cleaning person,1,False
char__family_member,char__mother,family member,mother,4,False
char__family_member,char__jester,family member,jester,10,False
