normalized_name,canonical_name,location_category,king_episode_count
courtyard,Courtyard,Outside Palace,48
castle,Castle,Inside Castle,38
armory,Armory,Inside Castle,32
bazaar,Bazaar,Bazaar,28
inside the temple,Inside the temple,Inside Temple,27
throne room,Throne Room,Inside Tower,24
palace ballroom,palace ballroom,Inside Palace,22
beach,The beach,Shore,22
kings chambers,Kings chambers,Inside Palace,22
dining hall,Dining Hall,Inside Castle,21
castle maids' room,Castle Maids' Room,Inside Castle,21
hall of echoes,Hall of echoes,Inside Temple,21
royal kitchen,Royal Kitchen,Inside Palace,21
sacrificial altar,Sacrificial altar,Inside Temple,20
tombstones of the kings,Tombstones of the Kings,Graveyard,20
master bedroom,Master Bedroom,Inside Castle,20
armory,The armory,Inside Tower,20
room at the top of the tower,The room at the top of the tower,Inside Castle,20
kings bedroom,Kings bedroom,Inside Castle,20
tower,Tower,Outside Tower,20
king's bedroom,King's Bedroom,Inside Palace,20
winter gardens,The Winter Gardens,Outside Tower,20
banquet hall,Banquet Hall,Inside Castle,19
privy room,Privy room,Inside Castle,19
kitchen,kitchen,Inside Cottage,19
prayer room,The prayer room,Inside Temple,19
great hall,The Great Hall,Inside Tower,19
servant's quarters,Servant's Quarters,Inside Palace,19
king's quarters,King's Quarters,Shore,19
inside the king's palace,Inside the king's palace,Inside Palace,19
dock,Dock,Port,19
dungeon,Dungeon,Inside Castle,18
royal gardens,Royal Gardens,Outside Palace,18
within the king's mansion,Within the King's Mansion,Inside Temple,18
spiral staircase,A spiral staircase,Inside Tower,18
priest's chambers,Priest's chambers,Inside Temple,18
throne,the throne,Inside Palace,18
dining hall,Dining Hall,Inside Palace,18
adjacent to the guest castle,Adjacent to the Guest Castle,Farm,17
foyer,Foyer,Inside Palace,17
kitchen,kitchen,Inside Castle,17
kings bed room,Kings Bed Room,Inside Castle,17
town square,Town square,Town,17
inside the unicorn palace,Inside the Unicorn palace,Inside Palace,17
across the king's garden,Across the King's Garden,Trail,17
grand dining room,The grand dining room,Inside Palace,17
entrance to castle,Entrance to castle,Outside Castle,17
prison room,prison room,Inside Tower,16
apothecary,Apothecary,Town,16
sheriff office,Sheriff Office,Farm,16
grassy plains,grassy plains,Trail,16
king's chambers,King's chambers,Inside Palace,16
confessional,Confessional,Inside Church,16
tower,Tower,Inside Tower,16
graveyard,Graveyard,Graveyard,16
king's quarters,The King's Quarters,Inside Tower,16
throne room,throne room,Shore,15
tower base,The tower base,Outside Tower,15
personal quarters,Personal quarters,Inside Palace,15
lower dungeon guard room,The Lower Dungeon Guard Room,Dungeon,15
royal bathroom,Royal Bathroom,Inside Castle,15
bed chambers,Bed Chambers,Inside Palace,15
stable,stable,Outside Castle,15
meadow,Meadow,Countryside,15
inside the king's castle,Inside the King's Castle,Inside Tower,15
weapon room,Weapon room,Inside Temple,15
dungeon,The Dungeon,Inside Palace,15
main hall,The  main hall,Inside Palace,14
grand ballroom,Grand Ballroom,Inside Castle,14
kitchens,kitchens,Inside Tower,14
main castle doors,main castle doors,Outside Palace,14
ghost trail,The Ghost Trail,Trail,14
grand balcony,Grand balcony,Inside Palace,14
cemetery,Cemetery,Wasteland,14
fish market,Fish Market,Port,14
dock at the port,Dock at the Port,Port,14
murder hole,Murder hole,Inside Tower,14
garden,Garden,Outside Palace,14
castle kitchen,castle kitchen,Inside Castle,14
throne room,Throne room,Inside Tower,14
blacksmith,Blacksmith,Bazaar,14
ball room,The Ball Room,Inside Palace,14
decoration shop,Decoration shop,Outside Temple,14
beside church entrance,Beside church entrance,Outside Church,14
guards quarters,Guards quarters,Inside Tower,14
large galleon,Large Galleon,Port,14
washroom,washroom,Inside Castle,14
debtor's prison,Debtor's Prison,Inside Tower,14
stable,Stable,Outside Palace,14
haunted swamp,Haunted Swamp,Swamp,14
beyond the wall,Beyond the Wall,Outside Castle,13
small dirt road,The small dirt road,Countryside,13
trailhead,Trailhead,Trail,13
prison room,Prison room,Inside Tower,13
peasant living quarters,Peasant living quarters,Outside Palace,13
